admin@gmail.com,90f5a7d63acd064631ac43c87f320f37f3fcfe0de8a9f12357d812da187d987e,false
marion@gmail.com,467ef766006264233bc791aa57ebfbaa88a4daa3a5ebf7158a6d10ca03233911,true,Mercy,Kipsang,2002-02-02,true,2022-02-02,true,null,Kenya
nelsa@gmail.com,23c5b53a683bc2c0df6bbeba2e01af22f0684211c00f59798ba940852b171129,true,Nelsa,Ishimwe,2001-02-03,true,2022-02-02,true,2023-02-02,Rwanda,34.888481999999996
mercy@gmail.com,90f5a7d63acd064631ac43c87f320f37f3fcfe0de8a9f12357d812da187d987e,true,Mercy,Kaisi,2002-02-02,false,2017-02-02,true,2018-02-02,Kenya,31.93587
kaisi@gmail.com,90f5a7d63acd064631ac43c87f320f37f3fcfe0de8a9f12357d812da187d987e,false,Kaisi,Thomson,1999-05-01,true,2007-05-02,true,2008-02-01,Malawi
sandra@gmail.com,90f5a7d63acd064631ac43c87f320f37f3fcfe0de8a9f12357d812da187d987e,false,Sandra,Sazuze,1970-02-07,true,2005-02-01,true,2006-02-02,Rwanda
namacha@gmail.com,90f5a7d63acd064631ac43c87f320f37f3fcfe0de8a9f12357d812da187d987e,false,Kelvin,Namacha,2002-02-02,false,null,false,null,Malawi
cecilia@gmail.com,90f5a7d63acd064631ac43c87f320f37f3fcfe0de8a9f12357d812da187d987e,false,Cecilia,Phiri,1985-02-02,false,null,false,null,Kenya
john@gmail.com,90f5a7d63acd064631ac43c87f320f37f3fcfe0de8a9f12357d812da187d987e,false,John,Banda,2001-02-02,false,null,false,null,Uganda
vitu@gmail.com,90f5a7d63acd064631ac43c87f320f37f3fcfe0de8a9f12357d812da187d987e,false,Vitumbiko,Banda,2008-02-02,false,null,false,null,Zimbabwe
niliya@gmail.com,03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4,false,John,iliya,1992-06-05,true,2020-01-01,true,2021-02-02,Nigeria
natasha@gmail.com,90f5a7d63acd064631ac43c87f320f37f3fcfe0de8a9f12357d812da187d987e,false,Natasha,Kaisi,1992-02-02,true,2022-02-03,false,null,Rwanda
vin@gmail.com,90f5a7d63acd064631ac43c87f320f37f3fcfe0de8a9f12357d812da187d987e,false,Vin,Namacha,2005-05-05,true,2017-02-11,false,null,Malawi
okeyo@gmail.com,90f5a7d63acd064631ac43c87f320f37f3fcfe0de8a9f12357d812da187d987e,false,John,Banda,1994-02-02,false,2017-02-03,false,null,Rwanda
